id,created_at,text
1105288117546713089,2019-03-12 02:03:17,b'Ice Samples Reveal a Massive Sun Storm Hit Earth in Ancient Times...And It Could Happen Again https://t.co/hpMCfUJPrI via @LiveScience'
1105221211800436736,2019-03-11 21:37:25,"b'About to go live with Dr. Peter Hotez, Professor and Dean of the National School of Tropical Medicine Baylor Colleg https://t.co/ZdRT8iqSUt'"
1105203071733456896,2019-03-11 20:25:20,b'The ocean is another world and cuttlefish are aliens. \n#Repost octonation with rep0stapp\n            \nRate t https://t.co/uM7NjKKhSq'
1104820510335123462,2019-03-10 19:05:10,b'Breakfast perfection. \nVenison and eggs with some extra kick provided by @GringoBHotSauce hot sauce! https://t.co/q1I9jNtDxP'
1104211235220975617,2019-03-09 02:44:08,b'Flashback Friday to 17 years ago getting manhandled by jeanjacquesmachado on the cover of Grappling magazine. I sta https://t.co/iZFa0xk05d'
1104190264669818883,2019-03-09 01:20:48,b'Beautiful afternoon run in nature with my sweet buddy marshallmaerogan! Thank you to @garyclarkjr for providing the https://t.co/KiIwM2hq9a'
1104169935964524544,2019-03-09 00:00:01,b'Hahahaha! Please tell him I said happy birthday! https://t.co/483LrlHxob'
1104085874768269312,2019-03-08 18:26:00,b'This is the same company that made the gi Im wearing in my post with jeanjacquesmachado and @therealrussellp. Supe https://t.co/9e5vEYMfx9'
1104079418648084481,2019-03-08 18:00:20,b'Morning training with the master jeanjacquesmachado and my brother @therealrussellp! Russell is a legit blue belt! https://t.co/LTOuLxbMou'
1103941524230795264,2019-03-08 08:52:24,b'Tonight was really fun. The power went out st the improv and we decided to do the show with no microphones. Next do https://t.co/6CY5vpzpTd'
1103853247385632768,2019-03-08 03:01:37,b'When marshallmaerogan sees Bohemian Rhapsody. https://t.co/lu6dNZMc7R'
1103853086018334723,2019-03-08 03:00:58,b'I just uploaded JRE #1260 - Lennox Lewis &amp; Russell Peters to #Vimeo: https://t.co/r43C1drqiE'
1103755324547309573,2019-03-07 20:32:30,b'About to go live with my brother @therealrussellp and the great and powerful mrlennoxlewis https://t.co/GqAep158RN https://t.co/4jXbhjBc63'
1103569269462188032,2019-03-07 08:13:11,b'This guy rebuilt a Tesla in his driveway. Pretty damn impressive https://t.co/tNF0WkFVbt'
1103540852113080321,2019-03-07 06:20:16,b'This is the funniest shit on the internet.  Its also been removed by Instagram. Thank you @twitter for keeping thi https://t.co/QSDXfj2Tul'
1103471392987725824,2019-03-07 01:44:16,b'I just uploaded JRE #1259 - David Wallace-Wells to #Vimeo: https://t.co/HfLAsgRe1i'
1103424431513313280,2019-03-06 22:37:39,b'Stop whatever the fuck youre doing right now and go watch @kyledunnigans video on Michael Jackson.  Kyle is a fuc https://t.co/a46bmKcjn2'
1103388226822254594,2019-03-06 20:13:47,b'Going live with David Wallace-Wells to talk about the impending eco-apocalypse \nWatch live: https://t.co/GqAep158RN https://t.co/QR3FvDypaM'
1103328612932046848,2019-03-06 16:16:54,b'Today at noon on the podcast lets freak out about the future of our environment together.  Marijuana is optional. https://t.co/6azjMPwP8Y'
1103224124199956481,2019-03-06 09:21:42,b'Black Mirror here we come! U.S. Army Assures Public That Robot Tank System Adheres to AI Murder Policy https://t.co/GR0BxCh3px via @gizmodo'
1103213281961897984,2019-03-06 08:38:37,b'Butt Implants Linked to Rare Cancer in First Reported Case https://t.co/C4BfUGLqcO via @LiveScience'
1103201863946526720,2019-03-06 07:53:15,b'Thor is angry. https://t.co/20UguILNJA'
1103200343549243392,2019-03-06 07:47:13,b'There were shows tonight at @thecomedystore dedicated to @brodyismefriend and signs at @hollywoodimprov. \nIt still https://t.co/u5mFeHoTQq'
1103176424104570881,2019-03-06 06:12:10,"b'I just uploaded JRE #1258 - Jack Dorsey, Vijaya Gadde &amp; Tim Pool to #Vimeo: https://t.co/ZCKsT2juca'"
1103027763768745984,2019-03-05 20:21:26,b'About to go live with @timcast jack and vijaya to discuss twitter and censorship. Rejoice and watch live https://t.co/gYJhN0GZ7R'
1102771587063791616,2019-03-05 03:23:29,"b""LA! I'm at @HollywoodImprov this tuesday and thursday with a bunch of funny fucking savages https://t.co/O6Fn552XVa"""
1102768907797049344,2019-03-05 03:12:50,b'I just uploaded JRE MMA Show #58 with Brendan Schaub to #Vimeo: https://t.co/VDe4KGOb6M'
1102766825090306048,2019-03-05 03:04:34,b'I just uploaded JRE #1257 - Steve Sweeney to #Vimeo: https://t.co/p8BFqOcwa9'
1102763677042728960,2019-03-05 02:52:03,"b""Mysterious 'Planet Nine' Is Probably 5 to 10 Times the Size of Earth https://t.co/psU9NOuose via @LiveScience"""
1102662222176763904,2019-03-04 20:08:54,"b'About to go live with one of the best stand up comics of all time, the great Steve Sweeney! https://t.co/GqAep158RN https://t.co/DsAw6euRoY'"
1102634352758800384,2019-03-04 18:18:10,b'At 3pm today my brother @brendanschaub and I will recap this past weekends amazing UFC card. Rejoice! https://t.co/WpH398JXJ0'
1102630097276862465,2019-03-04 18:01:15,"b'Joining me today at noon on the podcast, Boston stand up comedy legend Steve Sweeney! https://t.co/GqAep158RN https://t.co/nNz5feSZmL'"
1101945047241482240,2019-03-02 20:39:07,b'WHAT. A. CARD!\nDONT SLEEP! https://t.co/6lxjyZOvwA'
1101410064638701570,2019-03-01 09:13:17,"b'Nature, youre ruthless. \n Fuuuuuuuuuck...\n#Repost outdoorior\n\nParasite  \nVideo via snagbug / natureismetal https://t.co/JAFHuzC8DM'"
